Mean_Protein,Mean err_Protein,SD_Protein,SD err_Protein,log_protein_mean,log_protein_var
166.482,0.734,49.379,0.72,2.221367285,3.387084581
13.232,0.235,7.988,0.264,1.121625492,1.804876112
75.599,1.604,84.598,2.977,1.878516051,3.854720192
16.906,0.181,7.687,0.473,1.228040865,1.771513762
113.158,0.881,49.819,0.7,2.053685263,3.394790012
118.856,0.466,37.085,0.412,2.07502111,3.138396567
24.963,0.133,7.101,0.159,1.397296777,1.702639025
8.029,0.066,3.585,0.151,0.904661458,1.10897832
0.557,0.026,0.918,0.081,-0.254144805,-0.074314638
4.108,0.029,1.974,0.037,0.613630435,0.590694297
162.088,0.836,56.393,0.788,2.209750864,3.502450398
182.294,0.663,58.538,0.551,2.260772375,3.534875761
9.311,0.211,4.5,0.555,0.968996327,1.306425028
11.765,0.388,14.296,0.6,1.070591932,2.310429079
0.334,0.026,0.902,0.037,-0.476253533,-0.089586925
0.437,0.045,0.791,0.134,-0.359518563,-0.203647033
1.058,0.043,1.119,0.06,0.024485668,0.097660173
8.244,0.051,4.12,0.086,0.916137983,1.229794432
43.825,0.4,19.456,0.327,1.641721925,2.578107115
25.135,0.261,10.462,0.833,1.40027889,2.039229431
9.982,0.048,3.465,0.077,0.999217566,1.079406478
29.111,0.225,12.785,0.445,1.464057124,2.213401465
11.684,0.134,4.305,0.397,1.067591548,1.267946312
9.903,0.07,4.12,0.531,0.995766779,1.229794432
19.701,0.152,8.546,0.201,1.294488271,1.863525777
4.901,0.173,2.27,0.639,0.690284703,0.712051714
0.153,0.024,0.539,0.037,-0.815308569,-0.53682247
1.016,0.279,0.914,0.151,0.006893708,-0.078107609
31.362,0.569,18.296,0.543,1.49640375,2.524712303
3.461,0.369,3.038,0.29,0.539201599,0.965175539
1.456,0.065,1.062,0.054,0.163161375,0.052249033
47.252,0.596,22.562,0.595,1.674420195,2.70675519
6.713,0.072,3.37,0.084,0.826916647,1.055259802
2.273,0.083,0.707,0.142,0.356599436,-0.301161172
1.753,0.166,2.845,0.414,0.243781916,0.908164541
269.523,4.362,153.358,4.393,2.430595832,4.371412872
3.146,0.036,2.042,0.07,0.497758718,0.620111476
20.736,0.117,8.471,0.124,1.316724984,1.855869363
0.714,0.029,0.971,0.068,-0.146301788,-0.02556154
0.504,0.018,1.083,0.069,-0.297569464,0.069256913
64.301,0.713,25.598,0.691,1.808217727,2.816412069
192.91,2.08,70.312,1.641,2.285354741,3.694058903
50.046,0.387,17.049,0.69,1.699369372,2.463397822
231.012,3.809,124.23,3.715,2.36363454,4.18845297
6.66,0.114,3.538,1.056,0.823474229,1.097515657
1.707,0.05,1.119,0.097,0.232233521,0.097660173
79.14,0.949,28.447,0.798,1.898396046,2.908072946
2.345,0.116,2.038,0.552,0.370142847,0.618408359
2.002,0.062,1.453,0.083,0.301464073,0.324531229
0.192,0.023,0.496,0.032,-0.716698771,-0.609036647
1.805,0.079,1.534,0.16,0.256477206,0.371650719
12.299,0.073,4.087,0.067,1.089869802,1.222809275
1.023,0.025,0.96,0.04,0.009875634,-0.035457534
26.326,0.255,11.579,0.296,1.420384877,2.127342108
38.544,0.222,14.005,0.248,1.585956783,2.292566226
289.881,1.899,162.373,2.393,2.462219751,4.42102763
58.535,0.327,28.599,0.353,1.767415623,2.912701695
4.555,0.042,2.638,0.16,0.658488381,0.842549582
0.621,12.763,1.415,491.089,-0.2069084,0.30151288
79.581,0.545,29.678,0.493,1.900809392,2.944869261
1.142,0.044,1.105,0.072,0.057666104,0.086724556
13.345,0.658,6.44,5.155,1.125318578,1.617771735
